keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Alexander von Humboldt',en,Deutschland,#1818e8,#1818e8,1,0.346271344390909
'Richard David Precht',en,Deutschland,#1818e8,#1818e8,1,0.3457922989541666
'Willy Brandt',en,Deutschland,#1818e8,#1818e8,1,0.34551758799375
'Daniel Dillmann',en,Deutschland,#1818e8,#1818e8,1,0.339184201525
'Norbert Röttgen',en,Deutschland,#1818e8,#1818e8,1,0.3388789260249999
'Olli Schulz',en,Deutschland,#1818e8,#1818e8,1,0.3379187649999999
'Charles III',en,UK,#e838e8,#e838e8,3,0.3367055939626885
'Margeret Thatcher',en,UK,#e838e8,#e838e8,1,0.3316274999999999
'Emmanuel Macron',en,Frankreich,#e8e808,#e8e808,3,0.3234161993634266
'Wolodimir Selenski',en,Ukraine,#e818e8,#e818e8,1,0.3187308749999999
'Warren Buffet',en,USA,#18e8e8,#18e8e8,3,0.3171220270197426
'Georg Gänswein',en,Deutschland,#1818e8,#1818e8,1,0.3159377885874999
'Olaf Scholz',en,Deutschland,#1818e8,#1818e8,3,0.3141369795281621
'Wolfgang Kubicki',en,Deutschland,#1818e8,#1818e8,2,0.3104652130499999
'Maybrit Illner',en,Deutschland,#1818e8,#1818e8,2,0.3072837153197579
'Jewgeni Prigoschin',en,Russland,#e81818,#e81818,3,0.3024542208381112
'Recep Tayyip Erdoğan',en,Türkei,#111111,#111111,3,0.2933229335159393
'Markus Lanz',en,Deutschland,#1818e8,#1818e8,1,0.2907016313267613
'Liz Truss',en,UK,#e838e8,#e838e8,3,0.2884530858114328
'Katja Krasavice',en,Deutschland,#1818e8,#1818e8,1,0.2872118417612499
'Katalin Novák',en,Ungarn,#111111,#111111,2,0.2825372219835637
'Aleksandar Vučić',en,Serbien,#111111,#111111,2,0.2815412454684675
'Boris Johnson',en,UK,#e838e8,#e838e8,3,0.2809272792699669
'Joseph Ratzinger',en,Vatikan,#58b8e8,#58b8e8,1,0.2780039468012499
'Christian Lindner',en,Deutschland,#1818e8,#1818e8,3,0.277578331234168
'Elon Musk',en,USA,#18e8e8,#18e8e8,3,0.2710823461358623
'Frank Plasberg',en,Deutschland,#1818e8,#1818e8,1,0.2698772312499999
'Giorgia Meloni',en,Italien,#111111,#111111,3,0.268923953740093
'Jens Spahn',en,Deutschland,#1818e8,#1818e8,1,0.2685142932406249
'Jens Stoltenberg',en,Norwegen,#e818e8,#e818e8,3,0.2673390689168968
'Faisal Kawusi',en,Deutschland,#1818e8,#1818e8,1,0.26570118125
'Mike Pence',en,USA,#18e8e8,#18e8e8,3,0.2613627868007684
'Maria Kolesnikowa',en,Belarus,#e81858,#e81858,1,0.2585014463800377
'Eva Kaili',en,EU,#111111,#111111,3,0.2537088871801947
'Frank-Walter Steinmeier',en,Deutschland,#1818e8,#1818e8,3,0.2514924605885683
'Mateusz Morawiecki',en,Polen,#111111,#111111,3,0.2503720105755672
'Christine Lambrecht',en,Deutschland,#1818e8,#1818e8,1,0.249283962031489
'Julian Reichelt',en,Deutschland,#1818e8,#1818e8,3,0.2457992288283137
'David Malpass',en,USA,#18e8e8,#18e8e8,3,0.2432576681222887
'Ursula von der Leyen',en,EU,#111111,#111111,3,0.2412793076076889
'Fumio Kishida',en,Japan,#111111,#111111,3,0.2412189870421819
'Nancy Faeser',en,Deutschland,#1818e8,#1818e8,3,0.2383423883632433
'Pope Benedikt XVI',en,Vatikan,#58b8e8,#58b8e8,1,0.2382719046826404
'Angela Merkel',en,Deutschland,#1818e8,#1818e8,3,0.2371797024987847
'Chelsea Manning',en,USA,#18e8e8,#18e8e8,3,0.2364932607496347
'Ricarda Lang',en,Deutschland,#1818e8,#1818e8,3,0.2363265143606869
